Nominal Voltage(In Volts),Battery Current(in Amps),Extra Load(In Kgs),Electric vehicle(model),C-rating,No: of Charge cycles(weekly),Age of EV battery(in years),Driving Conditions,Type of Charging,Outside Temperature(in °C),Auxiliary Loads(in %),Reduced Range(in Kms),Output(Breakdown occurence)
379,268.38,248,Nio ES8,1.42,3,3,Hill Station,Level 2,23,9,23,No
360,120,236,BMW i3,1.2,3,6,city traffic,DC Fast Charging,22,6,15,No
361,280,239,Hyundai Ioniq,0.5,5,2,Hill Station,DC Fast Charging,30,14,22,No
356,118.81,246,Hyundai Kona,1.09,2,3,Hill Station,Level 2,35,10,30,No
308,136.71,210,SoNo motors Sion,1.47,3,1,Highway,Level 2,24,17,29,No
350,111,228,MG ZS,1,2,1,City,DC Fast Charging,33,10,18,No
350,236.16,229,Nio EC6,1.23,6,3,Hill Road,DC Fast Charging,43,16,35,Yes
400,290,228,Tesla Model Y,1,3,2,City,DC Fast Charging,13,5,29,No
339,99.51,219,SoNo motors Sion,1.07,6,3,Hill Road,DC Fast Charging,37,18,31,Yes
330,273.6,204,Aiways U5,1.44,5,3,City,Level 2,24,5,21,No
320,84.6,248,Tata Nexon,0.9,5,3,Hill Road,DC Fast Charging,43,15,33,Yes
350,126.9,250,BMW i3,1.35,5,5,Hill Road,DC Fast Charging,43,20,27,Yes
334,132.5,205,Seat Mii Electric,1.25,4,4,Highway,DC Fast Charging,24,15,29,No
100,44.72,247,Mahindra e20 (P8),1.72,3,4,Highway,Level 2,31,8,28,No
385,220,240,Tesla Model S,2.25,3,1,Hill Station,Level 2,20,12,26,Yes
296,96.46,222,Seat Mii Electric,0.91,4,4,City,Level 2,30,8,21,No
360,270.27,246,Nio ES8,1.43,1,4,Hill Station,Level 1,34,4,21,No
396,430.2,211,Audi e-tron 55,1.8,4,3,Hill Station,Level 2,27,8,20,No
54,25.52,231,Mahindra e2o (P2),0.88,4,2,City,DC Fast Charging,27,18,28,No
403,156.87,224,Nio ES8,0.83,6,4,Hill Road,DC Fast Charging,42,15,29,Yes
350,150,209,Chevrolet Bolt,0.8,4,5,Hill Road,DC Fast Charging,42,20,30,Yes
365,122.76,237,SoNo motors Sion,1.32,2,3,Highway,Level 1,30,16,28,No
55,117.7,249,Renault twizzy,1.1,1,3,City,DC Fast Charging,22,14,23,No
396,259.2,227,Nio EC6,1.35,5,2,Hill Station,Level 1,34,16,27,No
400,267.41,238,Tesla Model Y,1.43,2,2,Hill Station,DC Fast Charging,33,8,18,No
350,92.12,245,BMW i3,0.98,2,1,Hill Station,Level 2,35,17,22,No
345,222,206,Renault Zoe,1.48,1,1,Hill Station,DC Fast Charging,35,12,17,No
351,280,229,Tesla Model X,2.02,1,1,City,Level 2,28,6,18,Yes
391,155.48,229,Volkwagen e-Golf,1.69,6,3,Hill Road,DC Fast Charging,38,17,30,Yes
360,157.32,218,Nissan Leaf,1.14,2,2,Highway,Level 2,22,17,22,No
396,317.87,211,Audi e-tron 55,1.33,1,3,Highway,Level 1,25,15,29,No
400,168,324,Renault Zoe,1.12,5,3,Hill Station,Level 2,23,14,50,Yes
292,176.8,219,Ford Focus Electric,1.3,3,1,City,Level 2,35,11,27,No
252,184.96,201,Ford Focus Electric,1.36,4,2,City,Level 2,27,8,30,No
100,22.62,204,Mahindra e20 (P8),0.87,4,5,Hill Road,DC Fast Charging,37,18,26,Yes
355,135.24,225,Volkwagen e-Golf,1.47,4,3,Highway,Level 2,4,11,18,No
50,28.08,204,Mahindra e20 (P6),1.08,3,4,Hill Station,DC Fast Charging,32,14,30,No
385,290.4,222,Tesla Model S,1.32,4,1,Highway,Level 2,33,16,28,No
400,120,304,BMW I3,0.75,3,1,Hill station,Level 1,35,12,44,Yes
59,159.43,225,Renault twizzy,1.49,5,3,Hill Road,DC Fast Charging,40,18,31,Yes
394,92,237,MG ZS,1.2,4,1,Highway,DC Fast Charging,49,12,15,No
336,172.78,215,Seat Mii Electric,1.63,5,2,City,DC Fast Charging,33,11,20,No
380,322.34,322,Jaguar I-pace,1.42,1,4,Highway,Level 1,26,14,47,Yes
359,224.58,232,Tesla Model X,1.14,5,1,Hill Station,Level 2,30,16,29,No
150,22.62,329,Mahindra e20 (P8),0.87,4,3,Highway,Level 1,30,5,50,Yes
350,130,241,TATA Nexon,1.2,3,3,Highway,DC Fast Charging,30,10,19,No
100,44.2,209,Mahindra e20 (P8),1.7,4,5,Hill Road,DC Fast Charging,44,20,33,Yes
351,176.64,238,Nio EC6,0.92,1,3,Highway,Level 2,31,9,20,No
390,375,228,Tesla Model 3(Std Range),1,3,3,Rain/Low Visibility,Level 2,15,15,29,No
395,323.19,240,Nio ES8,1.71,3,3,City,Level 1,32,19,29,No
396,375.23,225,Audi e-tron 55,1.57,4,2,City,DC Fast Charging,20,13,19,No
400,261,203,Tesla Model Y,1.4,1,3,City,DC Fast Charging,24,14,21,No
350,75,216,Chevrolet Bolt,0.3,4,4,Hill Road,DC Fast Charging,-4,15,35,Yes
350,60.96,223,Chevrolet Bolt,1.27,3,3,City,Level 1,35,19,15,No
215,167.14,222,MW Motors Luka EV,1.37,1,4,Highway,DC Fast Charging,23,15,21,No
197,161.04,226,MW Motors Luka EV,1.32,4,4,City,DC Fast Charging,29,7,19,No
392,259.74,248,Nio ES6,1.17,4,2,Highway,Level 1,21,16,20,No
358,297.48,208,Nio ES6,1.34,2,4,Highway,Level 1,33,16,23,No
375,225,229,Tesla Model S,1.1,2,2,City,Level 1,26,10,16,No
202,168.36,239,MW Motors Luka EV,1.38,2,4,Highway,DC Fast Charging,35,7,21,No
59,97.37,203,Renault twizzy,0.91,2,3,Hill Station,DC Fast Charging,26,6,28,No
298,138,245,Seat Mii Electric,1.3,3,3,City,Level 1,35,10,27,No
368,253.44,226,Nio EC6,1.32,2,2,Hill Station,Level 2,23,16,21,No
100,31.98,217,Mahindra e20 (P8),1.23,5,1,City,DC Fast Charging,23,11,24,No
350,76.32,242,Chevrolet Bolt,1.59,4,3,Hill Station,Level 1,-5,11,26,No
350,215.46,239,Nio ES8,1.14,2,1,Hill Station,Level 2,25,14,20,No
360,110.4,222,Nissan Leaf,0.8,4,4,City,Level 2,23,13,29,No
356,130,224,Hyundai Kona,1.2,3,2,Highway Driving,Level 2,35,8,27,No
60,92.02,230,Renault twizzy,0.86,3,4,City,DC Fast Charging,34,6,20,No
500,225,204,Nissan Leaf,1.5,8,3,City,DC Fast Charging,45,5,16,No
350,161.4678,215,MG ZS,1.27,3,3,City,DC Fast Charging,29,8,19,No
48,200,235,Mahindra e2o (P2),1,4,2,City,DC Fast Charging,25,5,15,No
201,137.86,244,MW Motors Luka EV,1.13,5,4,Hill Road,DC Fast Charging,36,19,28,Yes
350,209.76,218,Mercedes - Benz EQC,0.92,1,4,City,Level 2,3,5,25,No
400,284.24,219,Tesla Model Y,1.52,5,2,Highway,Level 2,23,9,25,No
360,110.4,246,Nissan Leaf,0.8,1,3,Hill Station,DC Fast Charging,33,6,15,No
375,102.3,203,SoNo motors Sion,1.1,4,4,Hill Station,Level 1,21,19,22,No
345,150,200,Renault Zoe,2.48,1,1,City,DC Fast Charging,25,5,23,Yes
375,257.73,221,Kia Soul,1.21,5,2,Highway,Level 1,27,12,24,No
254,243.44,213,Ford Focus Electric,1.79,5,4,Hill Station,Level 2,28,15,26,No
356,220,202,Hyundai Kona,2.41,2,3,City,Level 1,28,11,19,Yes
100,20.8,209,Mahindra e20 (P8),0.8,6,3,Hill Road,DC Fast Charging,-12,19,26,Yes
350,81.6,227,Chevrolet Bolt,1.7,2,3,City,DC Fast Charging,45,4,18,No
300,179,214,Seat Mii Electric,1.4,2,4,City,Level 1,20,8,16,No
350,300,202,Tesla Model 3(Mid Range),2,4,4,City,Level 2,32,8,25,No
350,78.96,236,BMW i3,0.84,2,2,Hill Station,DC Fast Charging,31,7,18,No
280,210,218,Kia Soul,1,3,3,City,Level 1,25,6,25,No
100,44.2,239,Mahindra e20 (P8),1.7,4,4,City,Level 2,35,12,20,No
54,23.14,216,Mahindra e20 (P6),0.89,3,4,Hill Station,Level 2,28,13,15,No
451,240.03,216,Nio ES8,1.27,1,3,Highway,Level 2,26,6,20,No
287,121.04,230,Ford Focus Electric,0.89,2,1,Hill Station,Level 2,29,14,20,No
212,132.98,213,MW Motors Luka EV,1.09,3,2,Hill Station,DC Fast Charging,30,6,27,No
49,35.1,224,Mahindra e20 (P6),1.35,3,3,Highway,DC Fast Charging,33,17,24,No
413,264.6,243,Nio ES8,1.4,3,2,City,DC Fast Charging,20,8,23,No
365,286.08,211,Nio EC6,1.49,5,2,Highway,Level 1,26,18,18,No
500,125,229,Nissan Leaf,0.5,5,2,City Daylight,DC Fast Charging,35,5,20,No
360,193.2,245,Nissan Leaf,1.4,3,2,Hill Station,Level 2,33,11,15,No
280,152.32,215,Ford Focus Electric,1.12,2,3,Highway,DC Fast Charging,29,17,15,No
360,178.02,212,Nissan Leaf,1.29,4,2,Hill Station,Level 2,25,15,19,No
311,143.52,209,Volkwagen e-Golf,1.56,4,5,Hill Road,DC Fast Charging,-5,18,32,Yes
350,228,245,Mercedes - Benz EQC,2,1,6,City,DC Fast Charging,-10,12,30,No
375,366.36,202,Kia Soul,1.72,1,3,City,DC Fast Charging,32,14,29,No
380,263.32,247,Jaguar I-pace,1.16,1,3,City,Level 1,34,5,15,No
320,100,222,Tata Nexon,1.15,3,3,hill station,DC Fast Charging,3,10,22,No
376,146.94,236,SoNo motors Sion,1.58,2,4,Hill Station,Level 2,25,12,29,No
320,120,208,Tata Nexon,2.08,5,2,City,DC Fast Charging,25,5,27,Yes
375,139.84,204,Volkwagen e-Golf,1.52,4,4,Hill Road,DC Fast Charging,45,18,34,Yes
400,350.76,329,Nio ES6,1.58,1,4,Hill Station,Level 2,28,4,44,Yes
100,55,225,Mahindra e20 (P8),2.18,4,2,Highway,Level 2,27,14,20,Yes
420,350,209,Jaguar I-pace,1.2,3,2,City,Level 1,27,8,20,No
392,350.66,233,Tesla Model X,1.78,6,4,Hill Road,DC Fast Charging,38,16,34,Yes
330,340.1,213,Aiways U5,1.79,5,5,Hill Road,DC Fast Charging,45,15,29,Yes
50,22.1,215,Mahindra e20 (P6),0.85,5,3,City,DC Fast Charging,5,7,30,No
360,172.8,240,Nio EC6,0.9,4,4,Hill Road,DC Fast Charging,35,18,33,Yes
375,144,240,Kia Soul,2,2,2,City,DC Fast Charging,20,6,22,No
48,39.73,200,Mahindra e2o (P2),1.37,3,4,Highway,Level 1,24,8,19,No
396,353.72,218,Audi e-tron 55,1.48,1,1,Highway,DC Fast Charging,26,12,29,No
53,39.52,212,Mahindra e20 (P4),1.52,6,4,Hill Road,DC Fast Charging,-13,17,33,Yes
320,77.08,214,Tata Nexon,0.82,5,2,Hill Station,Level 2,33,14,24,No
310,75,206,Chevrolet Bolt,1,1,2,City,Level 1,25,9,19,No
232,174.08,204,Ford Focus Electric,1.28,7,4,Hill Road,DC Fast Charging,37,15,25,Yes
350,83.66,246,BMW i3,0.89,2,3,Hill Station,Level 2,34,11,26,No
389,460,223,Jaguar I-pace,2,3,2,City,DC Fast Charging,20,14,23,No
360,320,249,Tesla Model X,1.1,2,3,City,DC Fast Charging,30,9,24,No
350,332.88,248,Mercedes - Benz EQC,1.46,4,3,Hill Station,Level 2,27,18,21,No
345,208.5,229,Renault Zoe,1.39,3,4,City,Level 2,35,10,16,No
396,382.4,243,Audi e-tron 55,1.6,5,3,Hill Station,Level 2,30,13,29,No
330,178.6,210,Aiways U5,0.94,4,1,Highway,Level 1,31,12,18,No
100,31.98,240,Mahindra e20 (P8),1.23,4,4,City,Level 1,35,9,25,No
372,260.04,209,Tesla Model X,1.32,1,2,Hill Station,DC Fast Charging,34,12,25,No
350,300,202,Nio EC6,1.25,2,4,Highway,DC Fast Charging,25,10,25,No
400,269.28,217,Tesla Model Y,1.44,4,3,City,Level 1,29,16,15,No
420,452,316,Tesla Model S,2,4,5,Highway,DC Fast Charging,19,7,48,Yes
378,112.24,250,Volkwagen e-Golf,1.22,1,1,Hill Station,Level 1,-7,19,18,No
352,120,248,BMW I3,1,2,1,City,Level 1,30,10,15,No
430,265,210,Nissan Leaf,0.95,4,3,City,DC Fast Charging,35,7,24,No
385,270.6,211,Tesla Model S,1.23,5,4,Hill Road,DC Fast Charging,36,19,28,Yes
400,150,314,Renault Zoe,1.5,5,6,Hill road,Level 2,30,15,44,Yes
366,330.24,241,Nio EC6,1.72,1,4,City,Level 1,33,8,27,No
385,345.6,231,Nio EC6,1.8,2,3,City,Level 2,28,4,24,No
380,236.08,218,Jaguar I-pace,1.04,4,1,City,DC Fast Charging,28,11,21,No
376,166.32,221,Nio ES8,0.88,6,5,Hill Road,DC Fast Charging,-12,20,30,Yes
430,432.5,324,Audi e-tron 55,1.73,3,2,City,Level 2,34,8,43,Yes
356,130.8,249,Hyundai Kona,1.2,4,4,Hill Road,DC Fast Charging,35,15,29,Yes
365,342.78,241,Tesla Model X,1.74,3,3,Hill Station,Level 2,22,15,26,No
54,37.7,217,Mahindra e20 (P6),1.45,5,2,Highway,DC Fast Charging,23,18,26,No
380,335,240,Audi e-tron 55,1.34,7,3,Hill Road,DC Fast Charging,45,19,35,Yes
350,154.38,308,SoNo motors Sion,1.66,1,1,City,Level 1,23,16,41,Yes
352,120,237,BMW I3,1,3,2,Hill station,DC Fast Charging,5,15,22,No
315,150,250,Renault Zoe,1,3,3,City,Level 2,10,15,20,No
400,261.8,241,Tesla Model Y,1.4,6,3,Hill Road,DC Fast Charging,40,19,31,Yes
207,192.76,215,MW Motors Luka EV,1.58,5,4,City,Level 2,29,18,19,No
360,194.58,215,Nissan Leaf,1.41,5,5,Hill Road,DC Fast Charging,-8,19,25,Yes
356,164.59,231,Hyundai Kona,1.51,2,2,Hill Station,Level 2,30,4,28,No
352,264.96,206,Nio EC6,1.38,1,1,Hill Station,Level 2,27,4,27,No
430,170.1,310,Nio ES8,0.9,1,3,City,Level 1,31,19,46,Yes
330,323,247,Aiways U5,1.7,5,4,Hill Road,DC Fast Charging,44,20,34,Yes
309,148.4,248,Seat Mii Electric,1.4,2,2,City,Level 2,20,7,20,No
320,150,234,Tata Nexon,1,6,4,Hill Road,DC Fast Charging,43,19,29,Yes
464,220,213,Nio ES8,2.01,2,1,City,Level 1,20,7,22,Yes
384,237.54,246,Nio ES6,1.07,3,4,Highway,Level 1,26,19,18,No
375,452,226,Tesla Model S,2,6,5,Hill Road,DC Fast Charging,42,18,27,Yes
394,282.24,217,Nio EC6,1.47,4,2,Hill Station,Level 2,30,16,22,No
49,32.48,250,Mahindra e2o (P2),1.12,1,3,Highway,Level 2,29,15,28,No
100,33.64,313,Mahindra e2o (P2),1.16,2,4,Hill Station,DC Fast Charging,33,8,40,Yes
385,305.8,203,Tesla Model S,1.39,4,4,Hill Station,Level 1,22,19,24,No
322,167.4,201,SoNo motors Sion,1.8,6,3,Hill Road,DC Fast Charging,36,18,29,Yes
397,259.2,246,Nio EC6,1.35,2,4,Hill Station,DC Fast Charging,25,11,18,No
330,210.9,242,Aiways U5,1.11,2,1,Hill Station,Level 1,23,15,18,No
350,75.84,237,Chevrolet Bolt,1.58,3,3,Hill Station,DC Fast Charging,35,5,16,No
380,211.11,223,Jaguar I-pace,0.93,6,3,Hill Road,DC Fast Charging,-11,17,28,Yes
330,271.7,224,Aiways U5,1.43,6,3,Hill Road,DC Fast Charging,-14,16,34,Yes
220,58.62,240,Tata Tigor,0.6,4,1,Hill station,Level 1,30,9,17,No
330,302.1,225,Aiways U5,1.59,6,5,Hill Road,DC Fast Charging,37,19,34,Yes
356,116.63,247,Hyundai Kona,1.07,5,1,Hill Station,Level 2,26,9,26,No
387,255.36,211,Nio EC6,1.33,4,1,Hill Station,DC Fast Charging,25,5,22,No
330,222.3,248,Aiways U5,1.17,4,1,Highway,Level 1,28,14,17,No
360,245.64,227,Nissan Leaf,1.78,4,3,Hill Station,Level 1,25,6,23,No
380,215,234,Audi e-tron 55,0.86,2,4,Hill Station,Level 2,21,14,17,No
380,372.5,230,Audi e-tron 55,1.49,2,3,Highway,DC Fast Charging,26,5,18,No
430,240.03,206,Nio ES8,1.27,5,1,Hill Station,Level 2,22,7,22,No
372,222,248,Nio ES6,1,5,2,Highway,DC Fast Charging,22,17,21,No
49,44.72,222,Mahindra e20 (P6),1.72,3,4,City,DC Fast Charging,30,5,29,No
50,190,218,Mahindra e2o (P6),1,6,4,Hill Road,DC Fast Charging,36,15,32,Yes
48,29.64,208,Mahindra e20 (P6),1.14,2,3,Hill Station,Level 1,-4,5,22,No
50,34.58,245,Mahindra e20 (P4),1.33,3,2,Hill Station,Level 2,21,18,24,No
211,197.64,237,MW Motors Luka EV,1.62,2,1,Highway,Level 1,22,8,28,No
100,39.78,243,Mahindra e20 (P8),1.53,2,4,Highway,Level 2,35,19,23,No
345,150,242,Renault Zoe,1,2,3,City,Level 2,-10,15,24,No
396,400,217,Audi e-tron 55,2.21,5,3,Highway,DC Fast Charging,24,7,29,Yes
253,155.04,242,Ford Focus Electric,1.14,5,4,Hill Road,DC Fast Charging,43,20,29,Yes
372,344.1,207,Nio ES6,1.55,3,4,Hill Station,DC Fast Charging,56,8,30,No
218,104.9,210,MW Motors Luka EV,0.86,1,1,Hill Station,DC Fast Charging,21,10,20,No
396,327.43,204,Audi e-tron 55,1.37,4,5,Hill Road,DC Fast Charging,-3,16,34,Yes
380,358.66,238,Jaguar I-pace,1.58,5,3,Hill Station,Level 2,34,7,18,No
329,185.5,212,Seat Mii Electric,1.75,7,3,Hill Road,DC Fast Charging,40,17,30,Yes
350,200.8812,245,MG ZS,1.58,1,4,City,Level 1,45,13,23,No
361,244.2,248,Nio ES6,1.1,3,2,Highway,DC Fast Charging,22,6,23,No
400,252.45,234,Tesla Model Y,1.35,4,5,Hill Road,DC Fast Charging,-4,17,33,Yes
400,170,215,MG ZS,1.5,2,3,City,DC Fast Charging,30,5,24,No
49,28.86,225,Mahindra e20 (P6),1.11,2,1,City,DC Fast Charging,23,6,15,No
61,115.56,226,Renault twizzy,1.08,5,3,Hill Station,Level 2,35,15,30,No
350,305.52,207,Mercedes - Benz EQC,1.34,2,2,City,Level 1,32,15,18,No
346,187.62,206,Seat Mii Electric,1.77,1,1,City,Level 1,34,12,25,No
380,388.17,242,Jaguar I-pace,1.71,3,3,Highway,DC Fast Charging,21,10,28,No
72,170,209,Mahindra e2o (P8),1,4,3,City,DC Fast Charging,26,6,16,No
345,228,204,Renault Zoe,1.52,3,3,City,Level 2,31,6,18,No
51,33.8,219,Mahindra e20 (P4),1.3,4,3,Hill Road,DC Fast Charging,39,17,35,Yes
294,161.12,243,Seat Mii Electric,1.52,4,1,Highway,Level 1,26,8,27,No
316,116.25,223,SoNo motors Sion,1.25,4,1,Hill Station,Level 2,33,17,28,No
420,200,227,Tesla Model Y,1,1,8,Rain/Low Visibility,DC Fast Charging,15,5,20,No
56,87.74,235,Renault twizzy,0.82,7,4,Hill Road,DC Fast Charging,-11,19,31,Yes
350,300,245,Tesla Model 3(Long range),2,2,5,City,DC Fast Charging,40,10,18,No
356,196.2,248,Hyundai Kona,1.8,4,4,City,Level 2,31,19,28,No
466,151.2,250,Nio ES8,0.8,2,3,Hill Station,DC Fast Charging,21,4,21,No
396,265.29,237,Audi e-tron 55,1.11,1,2,Hill Station,Level 2,31,9,23,No
375,244.95,200,Kia Soul,1.15,1,1,City,Level 2,35,15,15,No
49,41.86,234,Mahindra e20 (P6),1.61,2,4,Highway,DC Fast Charging,6,11,16,No
320,130,216,MG ZS,1.19,4,3,City,DC Fast Charging,22,14,29,No
340,110,222,BMW I3,1.2,2,2,Suburban,Level 1,35,8,17,No
48,75,226,Mahindra e2o (P2),2.16,5,4,City,Level 2,-6,18,26,Yes
375,202.35,215,Kia Soul,0.95,4,1,Highway,Level 2,20,15,16,No
350,120,233,BMW i3,1.3,3,4,Highway,Level 2,23,12,23,No
300,85,222,Tata Nexon,0.65,2,2,City,Level 2,30,8,25,No
350,371.64,207,Mercedes - Benz EQC,1.63,4,3,Hill Station,DC Fast Charging,20,12,20,No
395,202.91,206,Tesla Model X,1.03,5,3,Hill Station,DC Fast Charging,27,4,16,No
340,670,218,Tesla Model 3,1.2,5,2,City,DC Fast Charging,27,3,19,No
362,340.81,235,Tesla Model X,1.73,2,2,City,Level 2,34,4,23,No
396,298.75,229,Audi e-tron 55,1.25,3,1,Highway,Level 2,34,7,28,No
350,300,238,Chevrolet Bolt,1.5,7,5,Hill station,Level 2,-15,20,24,No
50,26.78,211,Mahindra e20 (P4),1.03,1,1,Hill Station,Level 2,35,9,17,No
396,32,237,Audi e-tron 55,1,3,1,Suburban,DC Fast Charging,30,10,19,No
380,385,209,Audi e-tron 55,1.54,6,3,Hill Road,DC Fast Charging,-8,18,30,Yes
317,138.86,230,Seat Mii Electric,1.31,4,3,City,DC Fast Charging,36,9,28,No
293,145.22,231,Seat Mii Electric,1.37,2,1,City,Level 2,29,18,16,No
400,293.59,201,Tesla Model Y,1.57,4,2,Highway,Level 1,33,6,30,No
359,270.84,224,Nio ES6,1.22,4,1,City,Level 1,27,12,22,No
385,198,232,Tesla Model S,0.9,4,3,Hill Road,DC Fast Charging,-13,20,28,Yes
61,159.43,238,Renault twizzy,1.49,6,4,Hill Road,DC Fast Charging,37,19,34,Yes
65,131.61,242,Renault twizzy,1.23,2,4,Highway,Level 1,28,9,28,No
301,125.12,206,Volkwagen e-Golf,1.36,3,2,City,DC Fast Charging,23,10,19,No
309,87.98,205,Seat Mii Electric,0.83,5,1,City,Level 2,26,16,17,No
394,334.08,246,Nio EC6,1.74,3,4,City,Level 2,29,16,22,No
356,130,238,Hyundai Kona,2.17,4,2,City,DC Fast Charging,22,10,26,Yes
490,200,212,Nissan Leaf,1.5,5,4,City,DC Fast Charging,45,20,17,No
330,203.3,210,Aiways U5,1.07,1,4,Highway,Level 1,30,15,26,No
100,39.26,243,Mahindra e20 (P8),1.51,6,3,Hill Road,DC Fast Charging,39,15,26,Yes
324,103.04,237,Volkwagen e-Golf,1.12,6,4,Hill Road,DC Fast Charging,35,19,27,Yes
393,275,243,Nio ES8,2.16,5,1,Highway,DC Fast Charging,25,16,18,Yes
350,129.6828,231,MG ZS,1.02,1,3,Hill Station,DC Fast Charging,23,18,26,No
350,362.5,223,Mercedes - Benz EQC,1.59,3,3,City,Level 2,33,12,25,No
388,256.1,214,Tesla Model X,1.3,1,1,City,Level 2,21,16,20,No
100,44.72,230,Mahindra e20 (P8),1.72,5,3,Hill Road,DC Fast Charging,45,18,25,Yes
385,369.6,209,Tesla Model S,1.68,5,1,Hill Station,Level 1,30,16,29,No
323,103.2,212,SoNo motors Sion,1.11,3,4,Hill Station,Level 1,25,10,20,No
420,200,207,Tesla Model Y,1,7,5,City Night,DC Fast Charging,25,20,30,No
383,186.48,249,Nio ES6,0.84,4,4,City,DC Fast Charging,21,19,25,No
219,156.16,240,MW Motors Luka EV,1.28,5,4,Highway,DC Fast Charging,22,10,24,No
380,96.72,231,SoNo motors Sion,1.04,4,1,Highway,DC Fast Charging,22,9,24,No
58,118.77,212,Renault twizzy,1.11,4,4,Hill Station,DC Fast Charging,23,7,17,No
400,120,324,BMW I3,0.5,2,1,Highway,DC Fast Charging,45,10,44,Yes
